DBA Name,Address,Zip,IS_REAL_GROCERY,IS_REVIEWED_REAL,REVIEW_NOTES
123 Food Market,310 N Central Ave,60644.0,FALSE,FALSE,
24 Foods,329 N Laramie Ave,60644.0,FALSE,FALSE,
365 Foodmart Corporation,5100 W Madison St,60644.0,FALSE,FALSE,
4 Brothers Food Mart Corp.,4755 W Madison St,60644.0,FALSE,FALSE,
5826 Division Food,5826 W Division St,60651.0,FALSE,FALSE,
Adam & Aram Corporation,5145 W Division St,60651.0,FALSE,FALSE,
African 09,5421 W North Ave,60639.0,FALSE,FALSE,
Aldi Inc Store 14,5629 W Fillmore St,60644.0,TRUE,TRUE,GTG
Apple Food Mart,5255 W Madison St,60644.0,FALSE,FALSE,
Austin Produce,5649 W Chicago Ave,60651.0,TRUE,TRUE,GTG
Avenue Foods,5305 W Chicago Ave,60651.0,TRUE,TRUE,GTG
Avenue Grocery Mart,4948 W Chicago Ave,60651.0,FALSE,FALSE,
Ayman Food Market,600 N Cicero Ave,60644.0,FALSE,FALSE,
Bargain Food,5473 W Chicago Ave,60651.0,FALSE,FALSE,
Best Food,5751 W Augusta Blvd,60651.0,TRUE,TRUE,
Big Moe'S Cellular & Food,5539-5541 W Chicago Ave,60651.0,FALSE,FALSE,
Bobos Market Inc.,633 N Cicero Ave,60644.0,FALSE,FALSE,
Broklyn Deli Mart,5429-5431 W Chicago Ave,60651.0,FALSE,FALSE,
Brooklyn Market,5431 W Chicago Ave,60651.0,FALSE,FALSE,
By The Hand - Austin Harvest,423 N Laramie Ave,60644.0,FALSE,FALSE,
Candy City & Market,5034 W North Ave,60639.0,FALSE,FALSE,
Carlos Food,5261 W North Ave,60639.0,FALSE,FALSE,
Cc Stop Shop Discount,15 S Cicero Ave,60644.0,FALSE,FALSE,
Central General Merchadise,326 N Central Ave,60644.0,FALSE,FALSE,
Central Supermarket,1325 N Central Ave,60651.0,TRUE,TRUE,
Centrals Finer Foods,345 N Central Ave,60644.0,FALSE,FALSE,
Chicago  Ave  Food Market,5606 W Chicago Ave,60651.0,FALSE,FALSE,
Chicago Ave Food And Deli,5142 W Chicago Ave,60651.0,FALSE,FALSE,
Chicago Super Market Inc,5471-5473 W Chicago Ave,60651.0,TRUE,TRUE,
Cicero Big Mart,401 S Cicero Ave,60644.0,FALSE,FALSE,
Cicero Brothers,617 N Cicero Ave,60644.0,FALSE,FALSE,
Cicero Corner Food,756 N Cicero Ave,60644.0,FALSE,FALSE,
"Cicero Quick Stop, Inc",10 S Cicero Ave,60644.0,FALSE,FALSE,
Citgo,5103-5117 W Madison St,60644.0,FALSE,FALSE,
"City Discount Store,Inc.",5411 W Madison St,60644.0,FALSE,FALSE,
Corcoran Grocery,5601 W Corcoran Pl,60644.0,TRUE,TRUE,
Eagle Discount,5904 W Roosevelt Rd,60644.0,FALSE,FALSE,
Ecuadorian Food Market,5000 W Division St,60651.0,TRUE,TRUE,
"Express Dollar Store & More, Inc.",4805 W Madison St,60644.0,FALSE,FALSE,
Falcon Fuel,1201-1211 N Central Ave,60651.0,FALSE,FALSE,
"Fay'S Food & Meat Market, Inc.",5512 W North Ave,60639.0,FALSE,FALSE,
Food 4 Less Midwest # 567,4821 W North Ave,60639.0,TRUE,TRUE,
Ftex Foods & Liquor Inc,5756 W Chicago Ave,60651.0,FALSE,FALSE,
Gees Food Market,5135 W Division St,60651.0,TRUE,TRUE,
Gigi'S Quickmart,5050 W Chicago Ave,60651.0,FALSE,FALSE,
Gold Moor Food Market,4851 W Chicago Ave,60651.0,FALSE,FALSE,
Greenline Food,336 N Laramie Ave,60644.0,FALSE,FALSE,
Groceries Mi Cuba,5000 W Fulton St,60644.0,TRUE,TRUE,
Heaven Eleven,6016 W North Ave,60639.0,FALSE,FALSE,
Hunaid Foods,5556 W Harrison St,60644.0,FALSE,FALSE,
Jad  Market,5757 W Division St,60651.0,FALSE,FALSE,
"Jimmy'S Food & Deli,Inc",5601 W Madison St,60644.0,TRUE,TRUE,
Jordan Discount,5254 W Madison St,60644.0,FALSE,FALSE,
"Laramie Market, Inc",410 S Laramie Ave,60644.0,FALSE,FALSE,
Laramie Mini Market Inc.,338 S Laramie Ave,60644.0,FALSE,FALSE,
Leamington Foods,5467 W Madison St,60644.0,TRUE,TRUE,
Lil Sam,4800 W Fulton St,60644.0,FALSE,FALSE,
"M & S Food Market, Inc.",5615 W Madison St,60644.0,FALSE,FALSE,
Madison Discount Store Inc.,5144 W Madison St,60644.0,FALSE,FALSE,
Magic Food,6020-6022 W North Ave,60639.0,FALSE,FALSE,
Marathon Fuel &  Mini Mart,5201 W Division St,60651.0,FALSE,FALSE,
Mario'S Butcher Shop,5817-5825 W Madison St,60644.0,TRUE,TRUE,
Market Pam Tropical,5540 W North Ave,60639.0,FALSE,FALSE,
Moses Butcher Shop,5057 W Division St,60651.0,FALSE,FALSE,
"New Food Market, Inc.",5971 W Madison St,60644.0,FALSE,FALSE,
Nicholas High Quality Meats Inc,4619 W Harrison St,60644.0,FALSE,FALSE,
Ohio Food Mart,5345 W Ohio St,60644.0,FALSE,FALSE,
Omar Food Market,5960 W Roosevelt Rd,60644.0,FALSE,FALSE,
R&M Mart,5604-5606 W Chicago Ave,60647.0,FALSE,FALSE,
R&M2 Food Mart,5450 W Harrison St,60644.0,FALSE,FALSE,
Romero Food Market,5347 W North Ave,60639.0,FALSE,FALSE,
Rosalinda Food Market Plus,5924 W Roosevelt St,60644.0,TRUE,TRUE,
Safout,5401 W Augusta Blvd,60651.0,FALSE,FALSE,
Sanford Foods,501 N Laramie Ave,60644.0,TRUE,TRUE,
Serrellis Finer Foods,6454-6460 W North Ave,60707.0,TRUE,TRUE,
Shop And Go,5435 W Madison St,60644.0,FALSE,FALSE,
"Super Low Meat Market, Inc.",5300 W Chicago Ave,60651.0,FALSE,FALSE,
T & L Convenience Store And Restaurant,5038 W Madison St,60644.0,FALSE,FALSE,
T Jay'S Snack Shop,5204 W Harrison St,60644.0,FALSE,FALSE,
The Corner Store Deli,4900 W Walton St,60651.0,FALSE,FALSE,
Washington Food Market,5200 W Washington Blvd,60644.0,TRUE,TRUE,
"White & Blue Market, Inc",5808 W North Ave,60639.0,FALSE,FALSE,